Ticker,Name,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
IR,"Ingersoll Rand, Inc.",35.31,0.059903928,0,0.128172669,14759.71801,-153.26,-9.201388889,1.097280248
IRBT,iRobot Corp.,71.42,N/A,N/A,N/A,2013.525303,20.83,N/A,0.95962488
IRDM,"Iridium Communications, Inc.",28.16,N/A,N/A,N/A,3808.82598,-21.83,N/A,1.218979324
IRET,Investors Real Estate Trust,70.14,0.039520113,0,0.400331756,981.180395,13.02,0.519933894,0.901040251
IRIX,IRIDEX Corp.,1.975,N/A,N/A,N/A,28.052548,-3.49,N/A,0.941920611
IRM,"Iron Mountain, Inc.",30.16,0.081429515,0.012274959,0.054215067,8728.00292,42.85,3.504048871,0.975010884
IRMD,IRadimed Corp.,21,N/A,N/A,N/A,265.74905,44.66,N/A,0.832394982
IROQ,"IF Bancorp, Inc.",16.13,0.018598884,N/A,N/A,52.267329,11.87,0.219090046,0.218207462
IRT,"Independence Realty Trust, Inc.",12.14,0.054545455,N/A,N/A,1240.624822,37.85,2.057998129,1.24267943
IRTC,"iRhythm Technologies, Inc.",212.31,N/A,N/A,N/A,6202.359138,-86.19,N/A,0.993187615
IRWD,"Ironwood Pharmaceuticals, Inc.",9.775,N/A,N/A,N/A,1542.18792,15.89,N/A,0.70436231
ISBC,"Investors Bancorp, Inc. (New Jersey)",8.225,0.05707196,0.090909091,0.191357898,2014.25848,11.15,0.62305296,1.208411167
ISDR,Issuer Direct Corp.,16.305,N/A,N/A,N/A,61.805975,48.47,N/A,0.259774343
ISEE,"IVERIC bio, Inc.",4.465,N/A,N/A,N/A,401.864878,-3.31,N/A,1.283320849
ISIG,"Insignia Systems, Inc.",0.6525,N/A,N/A,N/A,8.847465,-1.37,N/A,0.28868789
ISNS,"Image Sensing Systems, Inc.",3.59,N/A,N/A,N/A,19.163671,3.04,N/A,0.523183615
ISR,"IsoRay, Inc.",0.6317,N/A,N/A,N/A,42.992211,-12.66,N/A,0.302653149
ISRG,"Intuitive Surgical, Inc.",735.31,N/A,N/A,N/A,86787.65186,75.01,N/A,1.140962258
ISSC,"Innovative Solutions & Support, Inc.",7.08,N/A,N/A,N/A,119.230488,40.54,N/A,0.848627488
ISTR,Investar Holding Corp.,14.025,0.017033357,0.08892922,0.488906684,152.744054,11.3,0.194049159,1.363186069
IT,"Gartner, Inc.",131.18,N/A,N/A,N/A,11741.22551,49.02,N/A,1.016916935
ITCI,"Intra-Cellular Therapies, Inc.",18.06,N/A,N/A,N/A,1226.317142,-5.91,N/A,0.995313502
ITGR,Integer Holdings Corp.,69.02,N/A,N/A,N/A,2322.4243,30.9,N/A,1.360704175
ITI,"Iteris, Inc.",4.41,N/A,N/A,N/A,186.621648,-36.1,N/A,1.226723663
ITIC,Investors Title Co.,134.72,0.012315813,0.1,0.224239925,258.143648,9.57,0.118429122,1.286262487
ITRI,"Itron, Inc.",59.13,N/A,N/A,N/A,2396.954532,-107.57,N/A,1.358577302
ITT,"ITT, Inc.",62.96,0.010157506,N/A,N/A,5375.808,17.22,0.1728098,1.314410522
ITW,"Illinois Tool Works, Inc.",193.9,0.021990443,0.07,0.142363235,61534.80469,28.39,0.626573754,1.103227658
IVAC,"Intevac, Inc.",6.25,N/A,N/A,N/A,149.138112,29.08,N/A,0.794634489
IVC,Invacare Corp.,6.69,0.005656109,N/A,N/A,228.158853,-5.33,-0.029882859,1.520887574
IVR,"Invesco Mortgage Capital, Inc.",2.88,0.521276596,0.111111111,0.045639553,511.34214,-0.27,-0.135329209,1.405340508
IVZ,Invesco Ltd.,11.39,0.097396768,-0.5,-0.105060686,5115.10924,11.12,1.059673796,1.690334603
IZEA,"IZEA Worldwide, Inc.",1.015,N/A,N/A,N/A,49.867038,-3.06,N/A,0.936448515
JACK,"Jack in the Box, Inc.",83.3,0.014338631,N/A,N/A,1897.905082,26.64,0.38376667,1.487278291
JAG,"Jagged Peak Energy, Inc.",8.23,N/A,N/A,N/A,1756.45483,10.7,N/A,-0.518278093
JAGX,"Jaguar Health, Inc.",0.314,N/A,N/A,N/A,27.756688,-0.1,N/A,0.37848404
JAKK,"JAKKS Pacific, Inc.",3.98,N/A,N/A,N/A,16.553004,-0.32,N/A,1.035777587
JASN,"Jason Industries, Inc.",0.0488,N/A,N/A,N/A,1.427444,-0.02,N/A,0.635368115
JAX,"J. Alexander's Holdings, Inc.",4.13,N/A,N/A,N/A,61.397853,-2.78,N/A,1.39866038
JAZZ,Jazz Pharmaceuticals Plc,131.71,N/A,N/A,N/A,7451.417496,55.64,N/A,0.898128806
JBGS,JBG SMITH Properties,27.8,0.032409075,N/A,N/A,4109.6823,78.98,2.556818182,1.10306218
JBHT,"J.B. Hunt Transport Services, Inc.",136.73,0.00766616,0.038461538,0.051547497,14588.45289,29.62,0.229835212,0.91207983
JBL,"Jabil, Inc.",32.91,0.009626955,0,0,5005.07976,132.76,1.290843082,1.397485124
JBLU,JetBlue Airways Corp.,12.13,N/A,N/A,N/A,3201.0055,-12.83,N/A,1.292089774
JBSS,"John B. Sanfilippo & Son, Inc.",80.755,0.008192589,N/A,N/A,906.03392,17.1,0.137700195,0.507569128
